Game Title,Score
PUBG: BATTLEGROUNDS,74.6453
Warframe,54.9368
Apex Legends,53.5327
Destiny 2,43.3808
The Sims 4,39.6755
Counter-Strike: Global Offensive,33.9941
War Thunder,33.6253
Call of Duty,27.3266
Echo Point Nova,26.5708
Dystopy,26.5571
Yu-Gi-Oh! Master Duel,24.165
PAYDAY 2,13.3962
Phasmophobia,7.62927
Team Fortress 2,7.35391
Tom Clancy's Rainbow Six Siege,6.9323
DAVE THE DIVER,4.40444
Dead by Daylight,4.29377
Project Zomboid,4.08613
Grand Theft Auto V,3.85749
FINAL FANTASY XIV Online,3.51687
Rust,3.39363
BattleBit Remastered,3.30407
Cyberpunk 2077,2.82024
Sons Of The Forest,2.78694
Forza Horizon 4,2.48193
The Texas Chain Saw Massacre,2.09213
Dota 2,1.77702
Forza Horizon 5,1.73952
The Elder Scrolls Online,1.6464
ELDEN RING,1.62444
Red Dead Redemption 2,1.57684
Hunt: Showdown,1.55266
Ready or Not,1.55146
Hogwarts Legacy,1.51252
Football Manager 2023,1.40468
Remnant II,1.18124
EA SPORTS FIFA 23,0.599822
World of Warships,0.597328
Street Fighter 6,0.593729
Total War: WARHAMMER III,0.464852
